Tarih;Karar (Ordin) No;Dosya Numarası;Ek Bilgi;Kaynak Belge
04.06.2026;1935P;12876/2023;Copii minori: 2;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;8335/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;7580/2023;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;50480/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10947/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10976/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18002/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;23245/2023;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;23245/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;23245/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;1850/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18047/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;6532/2023;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;6535/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10946/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18045/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;4183/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;2076/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;26385/2022;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;9391/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;1575/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;6647/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;7930/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;12900/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;4154/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;3380/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;3380/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10982/2023;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;11150/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;11150/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;8930/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;49091/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;6685/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;9448/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;23351/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;20518/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;19841/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10986/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;17440/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10980/2023;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;17983/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18029/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;1588/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;1593/2023;Copii minori: 3;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;23282/2023;Copii minori: 2;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;1873/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;9415/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;49782/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;20532/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;4123/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;12875/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;11147/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;50488/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;28772/2024;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;3449/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;50473/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;19188/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;19117/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18001/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;16476/2022;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;1820/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18006/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;51027/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18028/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;45100/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;9395/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;23151/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;9362/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;23875/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;11071/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;49834/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;49096/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;6520/2023;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10971/2023;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;6650/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;45100/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;1813/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;49069/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;49097/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;20540/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;9438/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10983/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10964/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;9432/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18051/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10978/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;1843/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;3452/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;12908/2023;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;4014/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;4019/2023;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;4022/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;9409/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;49851/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;26885/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;49077/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18041/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;8824/2023;Copii minori: 1;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;9379/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;3380/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10987/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10957/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;49347/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18019/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;1119/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;18025/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;45008/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;9440/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;16494/2022;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;11004/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;10954/2023;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;50136/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;49832/2024;;ordin-1935-din-04.06.2026-art-10.pdf
04.06.2026;1935P;2451/2024;;ordin-1935-din-04.06.2026-art-10.pdf
